data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,inter1,interaction,region,country,admin1,admin2,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1356714,566,NIG11864,11864,12 February 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Cross River,Abi,Itigidi,5.8828,8.0214,1,Vanguard (Lagos),National,"Fulanis and local militia clash in Itigi over possession of cattle. At least one death reported, possibly a bystander. After a number of the local militia were arrested, a group of residents protested.",1,1524053822,NGA
1357083,566,NIG11887,11887,11 February 2018,2018,1,Strategic development,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Nasarawa,Keana,Keana,8.1333,8.8,2,Vanguard (Nigeria),National,Property destruction: Fulanis burn 15 houses belonging to some Tiv people in Kuduku 11 village of Keana LGA. Some of the perpetrators were later arrested.,0,1524053823,NGA
1357137,566,NIG11851,11851,10 February 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,14,Western Africa,Nigeria,Benue,Logo,Ugba,7.5,9.3333,2,The Guardian,National,Fulani herdsmen ambushed a police patrol team at Tse-Akpam Azege in Logo Local Government Area. The patrol van was burnt while two of the police officers have been declared missing. One of the police officer's body was later found with body parts missing. Two others were rescued the following day. Following the attack the same suspected group attacked Udu village in the LGA and stole two motorcycles. It is not known if there was any civilian causality.,1,1524053823,NGA
1357138,566,NIG11854,11854,10 February 2018,2018,1,Strategic development,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Benue,Logo,Ugba,7.5,9.3333,2,The Guardian,National,Property destruction: Fulani herdsmen attacked Udu village in the LGA and stole two motorcycles. It is not known if there was any civilian causality.,0,1524053823,NGA
1357139,566,NIG11855,11855,10 February 2018,2018,2,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Kaduna,Jemaa,Bakin Kogi,9.4833,8.2667,1,The Guardian,National,"Fulanis attack Bakin Kogi village on 10/02 or 11/02, kill four.",4,1524053823,NGA
1357140,566,NIG11857,11857,10 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Plateau,Bassa,Bassa,9.9333,8.7333,2,The Guardian,National,"Fulanis attack Zangwra village on 10/02, kill three.",3,1524053823,NGA
1357142,566,NIG11856,11856,10 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Oyo,Iseyin,Iseyin,7.9667,3.6,1,Vanguard (Lagos),National,A farmer is attacked and killed by Fulanis in Iseyin on 10/02.,1,1524053823,NGA
1357379,566,NIG11841,11841,09 February 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Adamawa,Shelleng,Libu,9.6667,12.1833,1,Daily Independent (Nigeria),National,"The corpse of a man from Gomba community of neighbouring Demsa Local Government Area was sighted [in Libu] and the people of Gomba claimed that the deceased was killed by a Fulani. Gomba militia later mobilized, attacking and killing two Fulanis, possibly civilians. A general clash between the two groups followed, which caused at least five deaths and destroyed several buildings in the town.",5,1524053823,NGA
1357585,566,NIG11833,11833,08 February 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,14,Western Africa,Nigeria,Benue,Makurdi,Makurdi,7.7411,8.5121,1,Daily Independent (Nigeria),National,"Soldiers clash with, then arrest two Fulani herders in Makurdi.",0,1524053823,NGA
1357588,566,NIG11836,11836,08 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Adamawa,Shelleng,Libu,9.6667,12.1833,1,Daily Independent (Nigeria),National,"The corpse of a man from Gomba community of neighbouring Demsa Local Government Area was sighted [in Libu] and the people of Gomba claimed that the deceased was killed by a Fulani. Gomba militia later mobilized, attacking and killing two Fulanis, possibly civilians. A general clash between the two groups followed, which caused at least five deaths and destroyed several buildings in the town.",1,1524053823,NGA
